country_name,
Afghanistan,
Angola,
Argentina,
Bolivia,
Botswana,
Brazil,
Burundi,
Republic of Cabo Verde,
Chile,
Colombia,
Democratic Republic of the Congo,
Costa Rica,
Cuba,
Dominican Republic,
Ecuador,
Eritrea,
eSwatini,
Ethiopia,
French Guiana,
Georgia,
Guyana,
Haiti,
Indonesia,
Lesotho,
Malawi,
Mayotte,
Mexico,
Mongolia,
Montenegro,
Mozambique,
Myanmar,
Namibia,
Nepal,
Panama,
Paraguay,
Peru,
Philippines,
Réunion,
Rwanda,
Seychelles,
Sierra Leone,
Somalia,
South Africa,
Sudan,
Suriname,
Tanzania,
Thailand,
Trinidad and Tobago,
Tunisia,
Uganda,
Uruguay,
Venezuela,
Zambia,
Zimbabwe,
